,NPP_ANNUAL,PoTemp_AnnSea,PoDens_AnnSea,Salinity_AnnSea,upVelo_AnnSea,VEddyDiff_AnnSea,ZonCur_AnnSea,ZonWindStr_AnnSea,MerCur_AnnSea,MerWindStr_AnnSea,SST_AnnSea,TotalHeat_AnnSea,Shortwave_AnnSea,NetUpwardWaterFlux_AnnSea,SeaSurfaceThermostericHeight_AnnSea,SeaSurfaceStericHeight_AnnSea,SSH_AnnSea,SSS_AnnSea,SurfaceSaltFlux_AnnSea,MLD_AnnSea,NetSurfaceHeatFlux_AnnSea,BaroclinicDynamicHeight_AnnSea,SurfacePressure_AnnSea,StratIndex_AnnSea
LABEL,Annual net primary production (gC $\text{year}^{-1}$),Annual potential temperature (K),Annual potential density (kg/m$^3$),Annual salinity (psu),Annual upward velocity (m/s),Annual vertical eddy diffusivity ($m2/s$),Annual zonal current (m/s),Annual zonal wind stress (N/m$^2$),Annual meridional current (m/s),Annual meridional wind stress (N/m$^2$),Annual sea surface temperature (K),Annual net downward total heat flux (W/m$^2$),Annual net downward shortwave flux (W/m$^2$),Annual net upward water flux (mm/s),Annual sea surface thermosteric height (m),Annual sea surface steric height (m),Annual sea surface height (m),Annual sea surface salinity (psu),Annual surface salt flux (Kg/m2/s),Annual mixed layer depth (m),Annual >net surface heat flux (W/m$^2$),Annual baroclinic dynamical height (m),Annual surface pressure (Pa),Annual stratification index (s$^{-1}$)
UNIT,g / yr,K,kg / m^3,,m/s,m^2 / s,m/s,N / m^2,m/s,N / m^2,K,W / m^2,W / m^2,mm/s,m,m,m,,kg/m^2/s,m,W / m^2,m,Pa,s^-1
RCP85_2087,30.55657054484518,286.31202457666603,1028.9669874101755,38.39505654477681,1.0812286239447205e-06,0.3421307168068345,0.0029336287642621616,0.06026530979162178,-2.7812907653925324e-05,-0.05997113759212592,292.3927662026544,-22.113866207092467,178.526706394798,3.922630384847474e-05,-36.91687865545606,0.3224829527748091,0.05043425750812222,37.59349202200228,0.0014772399875380713,34.2615651309987,-25.18459012420001,-35.99311084965011,464.91289482252483,3.8197345506679383
RCP85_2088,28.3939787863724,286.3458323620514,1028.9607941003528,38.39497652254939,1.308451015696748e-06,0.2699491253863663,0.002005807249377341,0.041841724773981084,0.004676664442094008,-0.048689663470367836,293.0494491996234,-13.181718016504046,181.0227168169185,3.9241715865124245e-05,-36.90221564278605,0.34837569864343143,0.06269596908641221,37.52028759399946,0.0014727950910246668,28.88194512850771,-16.370182612393652,-35.975023861294495,463.1590750667949,4.009249282188703
RCP85_2089,26.32921983110876,286.326689049576,1028.9564523163197,38.38766357491269,4.640516283305029e-07,0.2789117728244599,0.001797208648904774,0.05669714045089609,0.003826551484033176,-0.06429895743488592,292.82085536020367,-32.297191958612665,176.82292854059676,4.138482852730664e-05,-36.89301665831211,0.3726199489616905,0.08474855601030386,37.5213223067621,0.0015539251060123016,29.698963182170164,-35.63386484197912,-35.9562226422312,316.00091664320166,4.197083595768487
RCP85_2090,25.70959809535412,286.4117682369757,1028.9456887780655,38.39183762449192,-4.340098261512469e-07,0.29321585275502854,0.004404926553094571,0.007637427639899843,0.004549030134941484,-0.0511190885107924,293.31565390089787,-34.09909715511108,173.68031509213583,3.347190403247607e-05,-36.875548364138396,0.359398524677593,0.08626407905626908,37.18576787556638,0.0012444499283929878,30.125425743353855,-36.99028205141137,-35.93517637033362,544.2270803193851,4.3672663838825345
RCP85_2091,28.96796752838892,286.3763513608923,1028.9516778267378,38.39307500801527,1.3346766381127575e-06,0.28946577999045636,0.0046758082634414735,0.055518989263084614,0.0005029654209361247,-0.06805394066189226,293.0044012513051,-18.73396206439601,181.26721626483743,3.861923233716038e-05,-36.87189401985414,0.38711957838307104,0.10259573244353284,37.427284460541536,0.001445640182779292,30.619145442551844,-21.868064939431914,-35.94314816141991,468.21580670665116,4.2235500024235915
RCP85_2092,30.983972482325264,286.36294008607183,1028.9671285075822,38.40637375070296,1.393903081085554e-06,0.24139612923265497,0.00642176622351118,0.055948107451002954,0.0042178003252517525,-0.06447892330347674,292.6406357441279,-15.6481976100657,180.48262478244288,3.652500511429456e-05,-36.89720003290383,0.3409925343658405,0.05449155619778996,37.60483193966056,0.0013746086436238994,27.120587731019583,-18.621043107324404,-35.99357379413342,478.0406573897585,3.7869044462726826
RCP85_2093,24.36618357188154,286.45215042132423,1028.9474126442824,38.404595226750146,3.379018792854117e-07,0.20057113629545495,0.008379177069097304,0.035754724943956595,0.003666342004721444,-0.039089087241965956,293.41523520345265,4.725943617845701,174.85287579657597,2.9661499868089937e-05,-36.85573915222366,0.425171122765811,0.1064819355776844,37.316805284381395,0.0011070935754854995,24.53369208169139,2.29839059630498,-35.94133228270502,340.29148713781643,4.329597237828606
RCP85_2094,28.56210944213008,286.44425889832667,1028.9521199295887,38.406420939124935,6.016203408127769e-07,0.23614495009165082,0.012226315746037596,0.04335724102599105,0.0037963557772519555,-0.05979934878438179,293.025353479067,-17.721917686047178,178.8920485056666,4.0331217131038705e-05,-36.8698906196355,0.3784688933947598,0.07035655066941718,37.426858377922834,0.0015093208846829339,26.28742807242897,-20.97969603781416,-35.95685145255703,570.1060992367894,4.193639972612528
RCP85_2095,27.561654068231533,286.3846108743562,1028.9572805686773,38.40312418644389,5.470337455468657e-07,0.2826357636354405,0.002796416321183799,0.05975178595753567,0.003809543528643381,-0.058352855721504865,292.96598563661195,-10.750546800708586,179.68904777884094,3.165636401390077e-05,-36.86613689672811,0.37056948896704955,0.06554804864008404,37.54194751010023,0.001188626524242434,30.00438727916222,-13.256330513718787,-35.95970918212097,466.21443270104044,4.163159941763135
RCP85_2096,33.634343280967215,286.4285491788756,1028.9542866749925,38.40771373210527,1.6035582103284576e-06,0.40091185415474073,0.0048539816695728705,0.07754317619111885,0.0013958731337711677,-0.09259738279052182,292.8267476569101,-44.79194643434997,181.98458631248965,4.949172447661501e-05,-36.86281538205948,0.3780439641995932,0.08468669558839856,37.62697125011793,0.001862942226558052,37.70590340033447,-48.59578248279391,-35.95818464874309,638.2236192509547,4.05291430692096
